Train,San Francisco,22nd Street,Bayshore,So. San Francisco,San Bruno,Millbrae,Burlingame,San Mateo,Hayward Park,Hillsdale,Belmont,San Carlos,Redwood City,Menlo Park,Palo Alto,California Ave,San Antonio,Mountain View,Sunnyvale,Lawrence,Santa Clara,College Park,San Jose,Tamien ,Capitol,Blossom Hill,Morgan Hill,San Martin,Gilroy
278,17:56,,,18:08,,18:14,,,,18:22,,,18:28,18:34,18:38,18:42,18:46,18:50,18:55,19:01,19:08,,19:16,19:23,
380,18:14,,,,,18:30,,,,18:38,,,,,18:49,,,18:56,,,,,19:11,,
282,18:20,,,,18:34,,18:39,18:43,,18:48,,18:52,,,19:02,19:06,,19:12,19:17,,,,19:28,,
284,18:27,18:32,18:40,18:48,18:52,18:56,19:00,19:04,19:07,19:11,19:14,19:18,19:22,19:28,,,,19:36,19:41,,19:49,,19:57,,
386,18:33,,,,,18:49,,18:57,,,,,19:06,,19:12,,,,19:21,,,,19:32,19:39,
288,18:56,,,19:08,,19:14,,,,19:22,,,19:28,19:34,19:38,19:42,19:46,19:50,19:55,19:59,20:04,,20:12,20:19,
190,19:30,19:35,19:40,19:46,19:50,19:54,19:58,20:01,20:04,20:07,20:10,20:13,20:18,20:23,20:26,20:30,20:34,20:38,20:43,20:47,20:52,,21:01,,
192,20:40,20:45,20:50,20:56,21:00,21:04,21:08,21:11,21:14,21:17,21:20,21:23,21:28,21:33,21:36,21:40,21:44,21:48,21:53,21:57,22:02,,22:11,22:18,
194,21:40,21:45,21:50,21:56,22:00,22:04,22:08,22:11,22:14,22:17,22:20,22:23,22:28,22:33,22:36,22:40,22:44,22:48,22:53,22:57,23:02,,23:11,23:18,
196,22:40,22:45,22:50,22:56,23:00,23:04,23:08,23:11,23:14,23:17,23:20,23:23,23:28,23:33,23:36,23:40,23:44,23:48,23:53,23:57,24:02,,24:11,,
198,24:01,24:06,24:11,24:17,24:21,24:25,24:29,24:32,24:35,24:38,24:41,24:44,24:49,24:54,24:57,25:01,25:05,25:09,25:14,25:18,25:23,,25:32,,
